license_state,license_status,license_number,licensee_name_business,establishment_address_full
Georgia,Inactive,60239,388TH BOMB GROUP ASSOCIATION INC,145 W MULBERRY BLVD EMBASSY SUITES SAV AIRPORT SAVANNAH GA 31322-3505
Georgia,Inactive,60240,388TH BOMB GROUP ASSOCIATION INC,145 W MULBERRY BLVD EMBASSY SUITES SAV AIRPORT SAVANNAH GA 31322-3505
Georgia,Active,63055,3RD BASE SPORTS GRILL,2174 SALEM RD SE CONYERS GA 30013-1824
Georgia,Active,11196,3RD BASE SPORTS GRILL,2174 SALEM RD SE CONYERS GA 30013-1824
Georgia,Active,63554,QUICK STOP#3,1974 SYLVAN RD SW ATLANTA GA 30310-5043
Georgia,Inactive,43419,4 SEASONS FOOD SERV-GOLF COURS,2000 MCADAMS RD ALBANY GA 31705-1515
Georgia,Inactive,57085,4 SEASONS WINGS & BILLIARDS,922 EAGLES LANDING PKWY STOCKBRIDGE GA 30281-7343
Georgia,Inactive,53075,4 THE GOOD TIMES,560 THORNTON RD STE 110-111 LITHIA SPRINGS GA 30122-1655
Georgia,Inactive,52079,4 WAY STOP,2284 DAMASCUS RD BALDWIN GA 30511-3406
Georgia,Inactive,37678,4 WAY STOP CITGO,801 NORTHSIDE DR CARROLLTON GA 30117-5323
Georgia,Inactive,58781,4-WAY BBQ TAKE OUT,1504 BROAD ST LUMPKIN GA 31815-3040
Georgia,Active,62147,40 EAST GRILL,40 E MAIN ST STATESBORO GA 30458-4844
Georgia,Inactive,58090,40 GIRLS AND SOME SHOES INC,892 JEFFERSON ST NW ATLANTA GA 30318-5200
Georgia,Active,28585,40 WATT CLUB,285 W WASHINGTON ST ATHENS GA 30601-2754
Georgia,Inactive,51624,400 PACKAGE,745 LANIER 400 PKWY CUMMING GA 30040-2539
Georgia,Active,64375,41,414 CHERRY ST MACON GA 31201-3321
Georgia,Inactive,4982,41 FOOD MART,4501 S DIXIE HWY RESACA GA 30735-9317
Georgia,Inactive,59949,41 PACKAGE,11094 TARA BLVD LOVEJOY GA 30250-0721
Georgia,Inactive,62573,STACI ADAMS,4672 MARTHA BERRY HWY NE ROME GA 30165-7716
Georgia,Active,57949,CARNESVILLE TRUCK STOP,905 HIGHWAY 320 CARNESVILLE GA 30521-2745
Georgia,Active,26975,BP FOOD MART,194 KEYS FERRY ST MCDONOUGH GA 30253-3225
Georgia,Inactive,54279,4TH BATTALION 3RD AVIATION REGIMENT,1001 E VICTORY DR DAFFIN PARK SAVANNAH GA 31405
Georgia,Inactive,55907,4TH OF MAY CAFE DOWNTOWN,MARY ROSS WATERFRONT PARK BRUNSWICK GA 31520
Georgia,Active,64323,DIRTY BIRDZ CONVENIENCE STORE,844 MARTIN LUTHER KING BLVD ATLANTA GA 30314
Georgia,Inactive,53515,5 GUYS BURGERS AND FRIES,120 TOM HILL SR BLVD STE 106 MACON GA 31210-0217
Georgia,Active,43680,5 MONKEYS LLC,3655 OLD MILTON PKWY ALPHARETTA GA 30005-4487
Georgia,Active,59425,5 MONKEYS LLC,3655 OLD MILTON PKWY ALPHARETTA GA 30005-4487
Georgia,Inactive,37363,5 NAPKIN BURGER,990 PIEDMONT AVE NE ATLANTA GA 30309-4109
Georgia,Inactive,45221,ASKA 22 INC,120 W CAMPGROUND RD MCDONOUGH GA 30253-8034
Georgia,Active,57987,5 POINTS GROWLERS,3687 ATLANTA HWY ATHENS GA 30606-3150
Georgia,Active,63693,DON JOSE,900 INDIAN TRAIL RD STE 6-7 LILBURN GA 30047
Georgia,Inactive,64253,50 CENTS PERIOD,101 EAST COURT SQUARE DECATUR GA 30030
Georgia,Inactive,53447,500 MARSHVIEW RESTAURANT & SUN,500 MARSHVIEW SHELLMAN BLUFF GA 31331
Georgia,Inactive,51761,52 BISTRO,52 N MAIN ST STE B ALPHARETTA GA 30009-8388
Georgia,Active,38591,ROXY PACKAGE,3101 ROSWELL RD STE Q MARIETTA GA 30062-5594
Georgia,Active,36338,NEW ERA DRIVE THRU LIQUOR,7057A COVINGTON HWY LITHONIA GA 30058-7603
Georgia,Inactive,53978,529,529 FLAT SHOALS AVE SE ATLANTA GA 30316-2056
Georgia,Active,1643,M & M PACKAGE,3471 ATLANTA HWY HIRAM GA 30141-1830
Georgia,Active,65339,54O TAPAS,840 ERNEST W BARRETT PKWY NW STE 540 KENNESAW GA 30144-4829
Georgia,Active,55623,550 TRACKSIDE,550 N CLAYTON ST LAWRENCEVILLE GA 30046-4504
Georgia,Inactive,25959,556 PACKAGE STORE,556 MCDONOUGH BLVD SE ATLANTA GA 30315-4218
Georgia,Inactive,22955,556 PACKAGE STORE,556-B MCDONOUGH BLVD SE ATLANTA GA 30315-4218
Georgia,Inactive,30233,56 PACKAGE SHOP,3324 MIKE PADGETT HWY AUGUSTA GA 30906-3741
Georgia,Active,34360,56 QUIK STOP,1552 GA HIGHWAY 56 N WAYNESBORO GA 30830-6523
Georgia,Inactive,44828,57 MAIN STREET IMPORTS,377 OAK STREET GARDEN CITY NY 11530
Georgia,Inactive,44850,57 MAIN STREET IMPORTS,377 OAK STREET SUITE 207 GARDEN CITY NY 11530-6542
Georgia,Inactive,52989,585 WINE PARTNERS,585 1ST ST W SONOMA CA 95476-6638
Georgia,Inactive,61200,585 WINE PARTNERS,585 1ST ST W SONOMA CA 95476-6638
Georgia,Active,54034,595 NORTH,595 NORTH AVE NW ATLANTA GA 30318-6911
Georgia,Active,57831,5O'CLOCKBISTRO,2111 KINGS WAY AUGUSTA GA 30904-4438
Georgia,Inactive,46812,5TH STREET RIBS N BLUES,86 5TH ST NW STE A-2 ATLANTA GA 30308-1031
Georgia,Inactive,4638,60 SOUTH MAIN STREET RESTAURANT AND TAVERN,60 S MAIN ST CLAYTON GA 30525-5477
Georgia,Inactive,65101,60 SOUTH MAIN STREET RESTAURANT AND TAVERN,60 S MAIN ST CLAYTON GA 30525-5477
Georgia,Inactive,57247,60 SOUTH MAIN STREET RESTAURANT AND TAVERN,60 S MAIN ST CLAYTON GA 30525-5477
Georgia,Active,62829,60/40 BAR AND GRILL,234 W BROAD AVE ALBANY GA 31701-2567
Georgia,Inactive,43008,6000 GROCERIES,606A N 11TH ST CORDELE GA 31015-2476
Georgia,Inactive,57484,606 EAST CAFE,36 MARTIN LUTHER LING BLVD SAVANNAH GA 31401
Georgia,Active,57000,61 MAIN,49 S MAIN ST JASPER GA 30143-1600
Georgia,Active,58938,630 CONVENTION CENTER,630 TRAVIS ST NW ATLANTA GA 30318-6906
Georgia,Active,40076,WHITESBURG BP,356 MAIN ST WHITESBURG GA 30185-3229
Georgia,Active,49116,EL CHEAPO FOOD MART # 113,19200 US HIGHWAY 80 W STATESBORO GA 30458-0132
Georgia,Inactive,3912,67 PACKAGE,3991 HWY 67 NORTH PEMBROKE GA 31321
Georgia,Active,49752,678 KOREAN B B Q,3880 SATELLITE BLVD DULUTH GA 30096-5009
Georgia,Active,50094,69 EAST TAPAS,10060 FORD AVE RICHMOND HILL GA 31324-8803
Georgia,Inactive,67526,"6910 CHARITIES, INC",958 MCEVER RD STE D9 GAINESVILLE GA 30504-3967
Georgia,Active,54641,6EME ARR.,2633 TRENTON AVE PHILADELPHIA PA 19125-1837
Georgia,Active,55081,6TH STREET PIER STEAK & SEAFOO,129 S 6TH ST GRIFFIN GA 30223-3432
Georgia,Inactive,47228,7 11 21 FOODMART,1494 TURNER MCCALL BLVD SW ROME GA 30161-6072
Georgia,Active,25146,JAMBO'S FOOD,260 TOM HILL SR BLVD MACON GA 31210-1815
Georgia,Active,56890,7 COFFEE,3182 STEVE REYNOLDS BLVD STE 110 DULUTH GA 30096-4505
Georgia,Active,32390,JORDAN'S PACKAGE,263 COMMERCE LN BALL GROUND GA 30107-2527
Georgia,Active,63404,TEXACO FOOD MART,7744 HIGHWAY 81 SW MONROE GA 30656-3344
Georgia,Inactive,57551,7 STAR CAFE,2930 OLD NORCROSS RD STE 300 DULUTH GA 30096-5111
Georgia,Active,53829,EL JALISCO MARKET INC,5014 SINGLETON RD STE 107 NORCROSS GA 30093-6300
Georgia,Active,56558,7 TEQUILAS MEXICAN RESTAURANT,1435 RIVERSTONE PKWY CANTON GA 30114-5623
Georgia,Active,54284,7 TEQUILAS MEXICAN RESTAURANT,5943 HOLLY SPRINGS PKWY STE 201 HOLLY SPRINGS GA 30188-2446
Georgia,Active,66160,7 TEQUILAS MEXICAN RESTAURANT,5063 POST ROAD UNIT 105-107 CUMMING GA 30040
Georgia,Active,1672,PINEBROOK VILLAGE PACKAGE STOR,4448 FORSYTH RD MACON GA 31210-4536
Georgia,Inactive,32321,7-11 FOOD MART,6319 MEMORIAL DR STE A STONE MOUNTAIN GA 30083-2810
Georgia,Active,38124,DISCOUNT BEVERAGE,191 S MAIN ST REIDSVILLE GA 30453-4600
Georgia,Active,19465,DISCOUNT LIQUORS,4507 REESE RD COLUMBUS GA 31907-1189
Georgia,Inactive,22297,LUCKY STORE,1801 MARVIN GRIFFIN RD AUGUSTA GA 30906-3811
Georgia,Active,69517,2311 PIO NONO AVE INC,2311 PIO NONO AVE MACON GA 31206
Georgia,Inactive,63880,7-11-17 GAS AND FOOD MART INC,2760 MONTPELIER AVE MACON GA 31204-5279
Georgia,Inactive,64226,7-11-18 GAS AND FOOD MART INC,3200 HIGH FALLS RD GRIFFIN GA 30224-7741
Georgia,Active,67940,SHELL FOOD MART,1001 EAGLES LANDING PKWY STOCKBRIDGE GA 30281-6394
Georgia,Inactive,24957,C J'S LANDING,270 BUCKHEAD AVE NE ATLANTA GA 30305-2208
Georgia,Active,43513,COLUMBIA DRIVE CHEVRON,2425 COLUMBIA DR DECATUR GA 30032-6805
Georgia,Active,38410,SHYAMAGI INC,407 S LAUREL ST SPRINGFIELD GA 31329-9261
Georgia,Inactive,33424,7-21 FOOD & CONVENIENCE STORE,2870 NEW CLINTON RD MACON GA 31211-7402
Georgia,Active,3599,DEEP SPRING SUPERETTE,1640 BEAVERDALE RD NE DALTON GA 30721-7237
Georgia,Inactive,49924,FUSE,257 PETERS ST SW ATLANTA GA 30313-1229
Georgia,Active,18613,KEVINS PACKAGE STORE,690 SANDTOWN RD SW MARIETTA GA 30008-3033
Georgia,Inactive,35565,C J'S LANDING,270 BUCKHEAD AVE NE ATLANTA GA 30305-2208
Georgia,Active,5427,GET IT TO GO II,3232 DEANS BRIDGE RD AUGUSTA GA 30906-7000
Georgia,Inactive,52802,706 BAR AND GRILL,2200 BROAD ST AUGUSTA GA 30904-3093
Georgia,Inactive,55500,717 B WESTOVER BLVD,717 WESTOVER BLVD STE B ALBANY GA 31707-1408
Georgia,Active,19545,72 MARINE SALES,3336 CALHOUN FALLS HWY ELBERTON GA 30635-5186
Georgia,Inactive,39554,74 FOOD MART,647 SENOIA RD FAIRBURN GA 30213-1617
Georgia,Active,61875,BEST MANAGEMENT ENT INC,1495 HIGHWAY 120 LAWRENCEVILLE GA 30043-5728
Georgia,Inactive,38611,74 SHELL,307 HIGHWAY 74 N PEACHTREE CITY GA 30269-3947
