X,Y,Name,Description
-84.590172,33.852548,,"<div>Facility type: </div><div>Geoid: <a href=""http://www.prisonersofthecensus.org/data/2010blocks/130670314061011/"">130670314061011</a></div><div>County: Cobb County</div><div>2010 Correctional Population: 3</div>"
-82.638502,31.527581,Coffee Correctional Facility- CCA,"<div>Facility type: Private</div><div>Geoid: <a href=""http://www.prisonersofthecensus.org/data/2010blocks/130690103002054/"">130690103002054</a></div><div>County: Coffee County</div><div>2010 Correctional Population: 1893</div>"
-82.852136,31.507352,Coffee County Jail,"<div>Facility type: Local</div><div>Geoid: <a href=""http://www.prisonersofthecensus.org/data/2010blocks/130690107003013/"">130690107003013</a></div><div>County: Coffee County</div><div>2010 Correctional Population: 264</div>"
-83.760934,31.181412,Colquitt County Jail,"<div>Facility type: Local</div><div>Geoid: <a href=""http://www.prisonersofthecensus.org/data/2010blocks/130719704003004/"">130719704003004</a></div><div>County: Colquitt County</div><div>2010 Correctional Population: 217</div>"
-83.707209,31.142145,Colquitt County Correctional Institution,"<div>Facility type: Local</div><div>Geoid: <a href=""http://www.prisonersofthecensus.org/data/2010blocks/130719706001016/"">130719706001016</a></div><div>County: Colquitt County</div><div>2010 Correctional Population: 189</div>"
-82.302554,33.540913,Columbia County Detention Center,"<div>Facility type: Local</div><div>Geoid: <a href=""http://www.prisonersofthecensus.org/data/2010blocks/130730304021013/"">130730304021013</a></div><div>County: Columbia County</div><div>2010 Correctional Population: 261</div>"
-84.785865,33.381577,Coweta County Jail,"<div>Facility type: Local</div><div>Geoid: <a href=""http://www.prisonersofthecensus.org/data/2010blocks/130771703052035/"">130771703052035</a></div><div>County: Coweta County</div><div>2010 Correctional Population: 377</div>"
-83.995336,32.721173,Crawford County Jail,"<div>Facility type: Local</div><div>Geoid: <a href=""http://www.prisonersofthecensus.org/data/2010blocks/130790701001085/"">130790701001085</a></div><div>County: Crawford County</div><div>2010 Correctional Population: 15</div>"
-83.81373,31.923628,Crisp County Jail,"<div>Facility type: Local</div><div>Geoid: <a href=""http://www.prisonersofthecensus.org/data/2010blocks/130810102012017/"">130810102012017</a></div><div>County: Crisp County</div><div>2010 Correctional Population: 197</div>"
-85.51005,34.872463,Dade County Jail,"<div>Facility type: Local</div><div>Geoid: <a href=""http://www.prisonersofthecensus.org/data/2010blocks/130830401012121/"">130830401012121</a></div><div>County: Dade County</div><div>2010 Correctional Population: 94</div>"
-84.119811,34.4217,Dawson County Jail,"<div>Facility type: Local</div><div>Geoid: <a href=""http://www.prisonersofthecensus.org/data/2010blocks/130859701002132/"">130859701002132</a></div><div>County: Dawson County</div><div>2010 Correctional Population: 137</div>"
-84.631346,30.984085,Bainbridge Substance Abuse Treatment Center,"<div>Facility type: State</div><div>Geoid: <a href=""http://www.prisonersofthecensus.org/data/2010blocks/130879703001009/"">130879703001009</a></div><div>County: Decatur County</div><div>2010 Correctional Population: 385</div>"
-84.601511,30.906376,Decatur County Jail,"<div>Facility type: Local</div><div>Geoid: <a href=""http://www.prisonersofthecensus.org/data/2010blocks/130879703002094/"">130879703002094</a></div><div>County: Decatur County</div><div>2010 Correctional Population: 146</div>"
-84.611866,30.903951,Decatur County Correctional Institution,"<div>Facility type: Local</div><div>Geoid: <a href=""http://www.prisonersofthecensus.org/data/2010blocks/130879703002101/"">130879703002101</a></div><div>County: Decatur County</div><div>2010 Correctional Population: 284</div>"
-84.244489,33.773695,Dekalb County Jail,"<div>Facility type: Local</div><div>Geoid: <a href=""http://www.prisonersofthecensus.org/data/2010blocks/130890231151008/"">130890231151008</a></div><div>County: DeKalb County</div><div>2010 Correctional Population: 3219</div>"
-84.201358,33.775222,,"<div>Facility type: </div><div>Geoid: <a href=""http://www.prisonersofthecensus.org/data/2010blocks/130890232043000/"">130890232043000</a></div><div>County: DeKalb County</div><div>2010 Correctional Population: 3</div>"
-84.335694,33.6938,Metro Regional Youth Detention,"<div>Facility type: State</div><div>Geoid: <a href=""http://www.prisonersofthecensus.org/data/2010blocks/130890238022006/"">130890238022006</a></div><div>County: DeKalb County</div><div>2010 Correctional Population: 168</div>"
-84.334599,33.68626,Metro State Prison,"<div>Facility type: State</div><div>Geoid: <a href=""http://www.prisonersofthecensus.org/data/2010blocks/130890238022022/"">130890238022022</a></div><div>County: DeKalb County</div><div>2010 Correctional Population: 1065</div><div>Comment: Closed April 2010 (after Census)</div>"
-83.158952,32.397541,Dodge State Prison,"<div>Facility type: State</div><div>Geoid: <a href=""http://www.prisonersofthecensus.org/data/2010blocks/130919601001025/"">130919601001025</a></div><div>County: Dodge County</div><div>2010 Correctional Population: 1232</div>"
-83.175743,32.201717,Dodge County Jail,"<div>Facility type: Local</div><div>Geoid: <a href=""http://www.prisonersofthecensus.org/data/2010blocks/130919602002042/"">130919602002042</a></div><div>County: Dodge County</div><div>2010 Correctional Population: 76</div>"
-83.715581,32.27906,Dooly State Prison,"<div>Facility type: State</div><div>Geoid: <a href=""http://www.prisonersofthecensus.org/data/2010blocks/130939701001010/"">130939701001010</a></div><div>County: Dooly County</div><div>2010 Correctional Population: 1764</div>"
-83.75533,32.190853,Dooly County Jail,"<div>Facility type: Local</div><div>Geoid: <a href=""http://www.prisonersofthecensus.org/data/2010blocks/130939701003051/"">130939701003051</a></div><div>County: Dooly County</div><div>2010 Correctional Population: 133</div>"
-84.119944,31.593385,Dougherty County Jail,"<div>Facility type: Local</div><div>Geoid: <a href=""http://www.prisonersofthecensus.org/data/2010blocks/130950103023023/"">130950103023023</a></div><div>County: Dougherty County</div><div>2010 Correctional Population: 829</div>"
-84.150299,31.580387,Albany Diversion Center,"<div>Facility type: State</div><div>Geoid: <a href=""http://www.prisonersofthecensus.org/data/2010blocks/130950114002004/"">130950114002004</a></div><div>County: Dougherty County</div><div>2010 Correctional Population: 154</div>"
-84.724101,33.748449,,"<div>Facility type: </div><div>Geoid: <a href=""http://www.prisonersofthecensus.org/data/2010blocks/130970803041003/"">130970803041003</a></div><div>County: Douglas County</div><div>2010 Correctional Population: 5</div>"
-84.752736,33.745104,Douglas County Jail,"<div>Facility type: Local</div><div>Geoid: <a href=""http://www.prisonersofthecensus.org/data/2010blocks/130970803042024/"">130970803042024</a></div><div>County: Douglas County</div><div>2010 Correctional Population: 798</div>"
-84.92846,31.363365,Early County Jail,"<div>Facility type: Local</div><div>Geoid: <a href=""http://www.prisonersofthecensus.org/data/2010blocks/130990904003012/"">130990904003012</a></div><div>County: Early County</div><div>2010 Correctional Population: 47</div>"
-81.315173,32.366783,Effingham County Prison,"<div>Facility type: Local</div><div>Geoid: <a href=""http://www.prisonersofthecensus.org/data/2010blocks/131030302031003/"">131030302031003</a></div><div>County: Effingham County</div><div>2010 Correctional Population: 495</div>"
-82.869997,34.110801,Elbert County Jail,"<div>Facility type: Local</div><div>Geoid: <a href=""http://www.prisonersofthecensus.org/data/2010blocks/131050004003005/"">131050004003005</a></div><div>County: Elbert County</div><div>2010 Correctional Population: 50</div>"
-82.162332,32.572082,Emanuel Probation Detention Center,"<div>Facility type: State</div><div>Geoid: <a href=""http://www.prisonersofthecensus.org/data/2010blocks/131079701003054/"">131079701003054</a></div><div>County: Emanuel County</div><div>2010 Correctional Population: 267</div>"
-82.357419,32.613308,Emanuel Transitional Center,"<div>Facility type: State</div><div>Geoid: <a href=""http://www.prisonersofthecensus.org/data/2010blocks/131079704001091/"">131079704001091</a></div><div>County: Emanuel County</div><div>2010 Correctional Population: 217</div>"
-82.369335,32.604947,Emanuel County Jail,"<div>Facility type: Local</div><div>Geoid: <a href=""http://www.prisonersofthecensus.org/data/2010blocks/131079704001097/"">131079704001097</a></div><div>County: Emanuel County</div><div>2010 Correctional Population: 118</div>"
-81.904874,32.167011,Smith Transitional Center,"<div>Facility type: State</div><div>Geoid: <a href=""http://www.prisonersofthecensus.org/data/2010blocks/131099703001022/"">131099703001022</a></div><div>County: Evans County</div><div>2010 Correctional Population: 353</div>"
-81.907611,32.161675,Evans County Jail,"<div>Facility type: Local</div><div>Geoid: <a href=""http://www.prisonersofthecensus.org/data/2010blocks/131099703001045/"">131099703001045</a></div><div>County: Evans County</div><div>2010 Correctional Population: 18</div>"
-84.327055,34.864218,Fannin County Jail,"<div>Facility type: Local</div><div>Geoid: <a href=""http://www.prisonersofthecensus.org/data/2010blocks/131110504004055/"">131110504004055</a></div><div>County: Fannin County</div><div>2010 Correctional Population: 55</div>"
-84.451232,33.441004,Fayette County Jail,"<div>Facility type: Local</div><div>Geoid: <a href=""http://www.prisonersofthecensus.org/data/2010blocks/131131404073010/"">131131404073010</a></div><div>County: Fayette County</div><div>2010 Correctional Population: 287</div>"
-85.14148,34.280491,Floyd County Jail,"<div>Facility type: Local</div><div>Geoid: <a href=""http://www.prisonersofthecensus.org/data/2010blocks/131150006002084/"">131150006002084</a></div><div>County: Floyd County</div><div>2010 Correctional Population: 653</div>"
-85.200732,34.219359,Floyd County Prison,"<div>Facility type: Local</div><div>Geoid: <a href=""http://www.prisonersofthecensus.org/data/2010blocks/131150021002025/"">131150021002025</a></div><div>County: Floyd County</div><div>2010 Correctional Population: 355</div>"
-84.140369,34.203913,,"<div>Facility type: </div><div>Geoid: <a href=""http://www.prisonersofthecensus.org/data/2010blocks/131171304101002/"">131171304101002</a></div><div>County: Forsyth County</div><div>2010 Correctional Population: 4</div>"
-84.138403,34.205093,Forsyth County Jail,"<div>Facility type: Local</div><div>Geoid: <a href=""http://www.prisonersofthecensus.org/data/2010blocks/131171304102017/"">131171304102017</a></div><div>County: Forsyth County</div><div>2010 Correctional Population: 235</div>"
-83.245517,34.372027,Franklin County Jail,"<div>Facility type: Local</div><div>Geoid: <a href=""http://www.prisonersofthecensus.org/data/2010blocks/131198902003029/"">131198902003029</a></div><div>County: Franklin County</div><div>2010 Correctional Population: 65</div>"
-84.424563,33.777727,Fulton County Jail,"<div>Facility type: Local</div><div>Geoid: <a href=""http://www.prisonersofthecensus.org/data/2010blocks/131210007001000/"">131210007001000</a></div><div>County: Fulton County</div><div>2010 Correctional Population: 1894</div>"
-84.38238,33.774142,,"<div>Facility type: </div><div>Geoid: <a href=""http://www.prisonersofthecensus.org/data/2010blocks/131210012012004/"">131210012012004</a></div><div>County: Fulton County</div><div>2010 Correctional Population: 24</div>"
-84.3767,33.773003,Atlanta Transitional Center,"<div>Facility type: State</div><div>Geoid: <a href=""http://www.prisonersofthecensus.org/data/2010blocks/131210013003007/"">131210013003007</a></div><div>County: Fulton County</div><div>2010 Correctional Population: 253</div>"
-84.395289,33.747234,Atlanta City Jail,"<div>Facility type: Local</div><div>Geoid: <a href=""http://www.prisonersofthecensus.org/data/2010blocks/131210035002034/"">131210035002034</a></div><div>County: Fulton County</div><div>2010 Correctional Population: 453</div>"
-84.383053,33.704334,,"<div>Facility type: </div><div>Geoid: <a href=""http://www.prisonersofthecensus.org/data/2010blocks/131210067003022/"">131210067003022</a></div><div>County: Fulton County</div><div>2010 Correctional Population: 4</div>"
-84.367789,33.710293,Atlanta USP and Atlanta Camp,"<div>Facility type: Federal</div><div>Geoid: <a href=""http://www.prisonersofthecensus.org/data/2010blocks/131210068011000/"">131210068011000</a></div><div>County: Fulton County</div><div>2010 Correctional Population: 2389</div>"
-84.519633,33.768146,Comprehensive Sanction Center,"<div>Facility type: Private</div><div>Geoid: <a href=""http://www.prisonersofthecensus.org/data/2010blocks/131210078051003/"">131210078051003</a></div><div>County: Fulton County</div><div>2010 Correctional Population: 140</div>"
-84.522855,33.554946,,"<div>Facility type: </div><div>Geoid: <a href=""http://www.prisonersofthecensus.org/data/2010blocks/131210105151033/"">131210105151033</a></div><div>County: Fulton County</div><div>2010 Correctional Population: 7</div>"
-84.442343,33.680694,East Point City Jail,"<div>Facility type: Local</div><div>Geoid: <a href=""http://www.prisonersofthecensus.org/data/2010blocks/131210112023012/"">131210112023012</a></div><div>County: Fulton County</div><div>2010 Correctional Population: 12</div>"
-84.35944,34.020729,Roswell City Jail,"<div>Facility type: Local</div><div>Geoid: <a href=""http://www.prisonersofthecensus.org/data/2010blocks/131210114051021/"">131210114051021</a></div><div>County: Fulton County</div><div>2010 Correctional Population: 51</div>"
